Pizza,285,10 g,18 mg,640 mg,184 mg,36 g,12 g,A slice of Pizza (per 107g)
Burger,354,17 g,56 mg,497 mg,271 mg,29 g,20 g,A Burger ( per 120g)
FrenchFries,365,17 g,0 mg,246 mg,677 mg,48 g,4 g,A serving of Medium Fries (per 117g)
Samosa,262,17 g,27 mg,423 mg,189 mg,24 g,3.5 g,A Piece of Samosa (per 100g)
Dumplings,74,1.7 g,1.1 mg,271 mg,39 mg,12 g,2 g,1 serving of Dumplings (per 32 g)
Ice_cream,137,7 g,29 mg,53 mg,131 mg,16 g,2.3 g,A scoop of Ice-cream (per 66 g)
Fried_Rice,228,3.2 g,32 mg,554 mg,123 mg,43 g,7 g,A cup of Rice (per 140g)
